Offer,Price,Designer,Series,CPU,CPU Age,RAM,SSD,Screen resolution,Condition,Active,GB6 Single,GB6 Multi,GB6 Single/€,GB6 Multi/€,ITJustGood
T14 G3 1TB VGood,730.0,Lenovo,ThinkPad T14S Gen 3,Intel Core i5-1245U,3.2,16.0,1000.0,1920x1080,Very Good,False,1964.0,6269.0,2.7,8.6,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t14s-gen2-intel-core-i5-1245u-16go-ddr5-1to-ssd-thunderbolt4-14pouces-fhd-windows11-03td7127.html
Latitude 5420 240GB VGood,470.0,Dell,Latitude 5420,Intel Core i5-1145G7,4.2,16.0,240.0,1920x1080,Very Good,True,1766.0,4873.0,3.8,10.4,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5420-intel-core-i5-1145g7-16-go-ddr4-240go-ssd-14-pouces-fhd-windows-11-03td6957.html
T14 G1 512 Good,410.0,Lenovo,ThinkPad T14S Gen 1,Intel Core i5-10210U,5.7,16.0,512.0,1920x1080,Good,True,1229.0,3088.0,3.0,7.5,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t14-gen-1-intel-core-i5-10210u-16go-ddr4-512go-ssd-thunderbolt3-windows11-14-fhd-etat-correct-0btd9029.html
T14 G1 256 VGood,430.0,Lenovo,ThinkPad T14S Gen 1,Intel Core i5-10210U,5.7,16.0,256.0,1920x1080,Very Good,True,1229.0,3088.0,2.9,7.2,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t14-gen-1-intel-core-i5-10210u-16go-ddr4-256go-ssd-thunderbolt3-windows11-14-full-hd-03td7128.html
Latitude 5420 500GB VGood,600.0,Dell,Latitude 5420,Intel Core i5-1145G7,4.2,16.0,500.0,1920x1080,Very Good,True,1766.0,4873.0,2.9,8.1,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5420-intel-core-i5-1145g7-16go-ddr4-500go-ssd-14-pouces-fhd-windows-11-03td6694.html
T14 G1 512 VGood,470.0,Lenovo,ThinkPad T14S Gen 1,Intel Core i5-10210U,5.7,16.0,512.0,1920x1080,Very Good,True,1229.0,3088.0,2.6,6.6,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t14-gen-1-intel-core-i5-10210u-16go-ddr4-500go-ssd-thunderbolt3-windows11-14-full-hd-03td6728.html
T14 G1 AMD 240G Good,510.0,Lenovo,ThinkPad T14S Gen 1,AMD Ryzen 5 PRO 4650U,4.7,16.0,240.0,1920x1080,Good,False,1421.0,4591.0,2.8,9.0,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t14-gen-1-amd-ryzen-5-pro-4650u-16go-ddr4-240go-ssd-thunderbolt4-14-full-hd-wifi6-webcam-windows11-etat-correct-0btd9098.html
T14 G1 AMD 512GB Good,380.0,Lenovo,ThinkPad T14S Gen 1,AMD Ryzen 5 PRO 4650U,4.7,16.0,512.0,1920x1080,Good,True,1421.0,4591.0,3.7,12.1,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t14-gen-1-amd-ryzen-5-pro-4650u-16go-ddr4-512go-ssd-thunderbolt4-14-full-hd-wifi6-webcam-windows11-etat-correct-0btd8977.html
EliteBook 845 G8 512GB Good,470.0,HP,EliteBook 845 G8,AMD Ryzen 5 PRO 5650U,4.0,16.0,512.0,1920x1080,Good,True,1740.0,5479.0,3.7,11.7,https://www.itjustgood.com/ultrabook-reconditionne-hp-elitebook-845-g8-amd-ryzen-5-pro-5650u-16go-512go-ssd-14-pouces-windows-11-etat-correct-03td7141.html
ProBook 640 G8 500GB VGood,550.0,HP,ProBook 640 G8,Intel Core i5-1145G7,4.2,16.0,500.0,1920x1080,Very Good,True,1766.0,4873.0,3.2,8.9,https://www.itjustgood.com/ultrabook-reconditionne-hp-probook-640-g8-intel-core-i5-1145g7-16go-ddr4-500go-ssd-14pouces-fhd-windows-11-03td6731.html
